name,geometry
,POINT (-17.4827304 14.7246624)
Gare Palais 1,POINT (-17.433456 14.6510408)
,POINT (-17.4930023 14.7326101)
,POINT (-17.4302712 14.6696986)
,POINT (-17.4370311 14.6664791)
centre ville,POINT (-17.4371376 14.6706184)
,POINT (-17.4375668 14.6658025)
,POINT (-17.439498 14.6666121)
,POINT (-17.4423304 14.6675877)
,POINT (-17.4365554 14.6693378)
,POINT (-17.4591565 14.7501951)
,POINT (-17.459929 14.7518136)
Terminus ligne 34,POINT (-17.4619996 14.7542206)
"Arrêt  mini bus (39,24 46,58,4,29,47,38)",POINT (-17.4663919 14.6969311)
,POINT (-17.459925 14.6914463)
,POINT (-17.4673712 14.6981768)
Arret bus tata 26-29-30-36,POINT (-17.4292332 14.758749)
Arret Bus Tata 26-36,POINT (-17.4298108 14.7589813)
,POINT (-17.464925 14.6791825)
Arret bus 18 / 39,POINT (-17.4575791 14.6837603)
,POINT (-17.4591595 14.6838516)
,POINT (-17.4831511 14.7157702)
,POINT (-17.4576138 14.7100542)
,POINT (-17.4541347 14.7109609)
,POINT (-17.4592194 14.7062674)
,POINT (-17.4575411 14.7042938)
,POINT (-17.4523011 14.7055553)
,POINT (-17.4549957 14.7012781)
,POINT (-17.4525377 14.7021634)
Phare de Mamelle,POINT (-17.5014671 14.7236436)
,POINT (-17.4471638 14.7014188)
,POINT (-17.450698 14.6977347)
,POINT (-17.4479317 14.6984171)
,POINT (-17.4472839 14.6995536)
Tata,POINT (-17.4544693 14.7006501)
,POINT (-17.4488622 14.7026421)
,POINT (-17.4559933 14.7067171)
,POINT (-17.456851 14.7070008)
,POINT (-17.4559187 14.7074884)
,POINT (-17.4574433 14.708663)
,POINT (-17.452489 14.706142)
,POINT (-17.4529878 14.7075387)
,POINT (-17.4543464 14.7079316)
,POINT (-17.4542405 14.7080787)
,POINT (-17.4534683 14.708996)
,POINT (-17.4554898 14.7025765)
,POINT (-17.4559026 14.7032098)
,POINT (-17.4570292 14.7036683)
,POINT (-17.4553617 14.7042836)
,POINT (-17.4522851 14.7044691)
,POINT (-17.4555895 14.7056742)
,POINT (-17.4512874 14.7040021)
,POINT (-17.4543279 14.7115201)
Arrêt bus AFTU,POINT (-17.4557081 14.7119901)
,POINT (-17.4862242 14.7175347)
Arret bus Mamelles,POINT (-17.5012368 14.7269246)
"Gare Routière ""Les Pompiers""",POINT (-17.4403545 14.6848608)
,POINT (-17.4654392 14.719558)
,POINT (-17.4699807 14.7056399)
,POINT (-17.4714819 14.7193278)
,POINT (-17.4687826 14.7398644)
Arrêt de Bus Tata,POINT (-17.4580511 14.7295953)
,POINT (-17.465412 14.7377609)
,POINT (-17.4657239 14.7381593)
,POINT (-17.4347978 14.7076639)
,POINT (-17.4339806 14.7106466)
,POINT (-17.4336301 14.7128526)
,POINT (-17.4336302 14.7195663)
,POINT (-17.4350831 14.7209181)
Arret DDD,POINT (-17.4366184 14.7222751)
,POINT (-17.4378165 14.7243785)
Arret DDD,POINT (-17.4294771 14.7256872)
,POINT (-17.4361645 14.7029501)
,POINT (-17.4349135 14.7076185)
,POINT (-17.4338033 14.7128794)
,POINT (-17.4323356 14.7198561)
,POINT (-17.434832 14.7204872)
,POINT (-17.43082 14.7233694)
,POINT (-17.4377619 14.720335)
,POINT (-17.4379887 14.7243431)
,POINT (-17.4238241 14.7309525)
,POINT (-17.4202466 14.7331418)
,POINT (-17.4317379 14.7209996)
,POINT (-17.4255391 14.7297491)
,POINT (-17.4235858 14.7309057)
,POINT (-17.4191894 14.7335351)
Yarakh,POINT (-17.4161783 14.7354486)
Yarakh,POINT (-17.4162012 14.7355984)
gare serigne mourtala,POINT (-17.4295313 14.7605525)
,POINT (-17.4687975 14.7000011)
Arrêt bus AFTU,POINT (-17.4555452 14.7123449)
Dakar Dem Dikk,POINT (-17.4535166 14.7103599)
,POINT (-17.4829157 14.7270333)
,POINT (-17.4831566 14.7271022)
,POINT (-17.485296 14.7273725)
,POINT (-17.4852022 14.727429)
,POINT (-17.4504501 14.7275147)
,POINT (-17.4881273 14.7277439)
,POINT (-17.4879707 14.728102)
Arrêt Limite Khar YALLA,POINT (-17.4531514 14.7281273)
,POINT (-17.4463871 14.7292485)
,POINT (-17.491141 14.7293903)
,POINT (-17.4925647 14.7296843)
,POINT (-17.4582078 14.7296803)
,POINT (-17.4579721 14.7299174)
,POINT (-17.4464314 14.7304528)
,POINT (-17.4947442 14.73069)
Arret Rond Point 6,POINT (-17.4565734 14.7308875)
,POINT (-17.4936008 14.7310037)
Arrêt Khar Yalla,POINT (-17.4566575 14.7311092)
,POINT (-17.4951195 14.7316664)
,POINT (-17.4594349 14.7317885)
,POINT (-17.4600071 14.7319838)
,POINT (-17.446184 14.7323064)
,POINT (-17.4462797 14.73247)
,POINT (-17.4929819 14.7324566)
,POINT (-17.4613669 14.7336896)
,POINT (-17.4460673 14.7339096)
,POINT (-17.461321 14.7342296)
,POINT (-17.4461626 14.7345017)
,POINT (-17.508795 14.7346495)
,POINT (-17.4730452 14.7348828)
,POINT (-17.4560045 14.7351706)
,POINT (-17.4615452 14.7351958)
,POINT (-17.5087949 14.735423)
Arrêt Credit Mutuel,POINT (-17.455744 14.7354522)
,POINT (-17.4733169 14.7357947)
,POINT (-17.4609084 14.735806)
,POINT (-17.4452548 14.7367457)
,POINT (-17.4450984 14.7367617)
,POINT (-17.4656438 14.7377573)
,POINT (-17.4655507 14.7381489)
,POINT (-17.4590123 14.7382712)
,POINT (-17.4589334 14.7381756)
,POINT (-17.4433343 14.7384341)
,POINT (-17.4431547 14.7384641)
Arrêt Sen Carreaux 2000,POINT (-17.4541104 14.7387536)
,POINT (-17.5100541 14.7389544)
,POINT (-17.5101102 14.7394378)
,POINT (-17.4686992 14.7395481)
Arrêt Mosquée Arafat5,POINT (-17.4532981 14.7396452)
,POINT (-17.4686121 14.739886)
,POINT (-17.4714007 14.7399196)
,POINT (-17.4717586 14.7401543)
,POINT (-17.4573675 14.7402156)
,POINT (-17.4568789 14.7406364)
,POINT (-17.4514354 14.7415756)
,POINT (-17.450522 14.7420478)
,POINT (-17.4502809 14.7423711)
,POINT (-17.4553236 14.742548)
,POINT (-17.4428146 14.742562)
,POINT (-17.4426507 14.7426107)
,POINT (-17.4702049 14.7427868)
,POINT (-17.4552786 14.742791)
,POINT (-17.4485287 14.7428587)
ARRET JARDIN PATTE D'OIE,POINT (-17.4435518 14.7430073)
ARRET JARDIN PATTE D'OIE,POINT (-17.4437747 14.743365)
,POINT (-17.4512197 14.7443194)
,POINT (-17.4501218 14.744412)
,POINT (-17.4690971 14.7449)
,POINT (-17.5123799 14.7446856)
,POINT (-17.5123566 14.7447118)
,POINT (-17.4552925 14.7449696)
Telenco,POINT (-17.4547695 14.7451462)
,POINT (-17.443079 14.7460636)
,POINT (-17.4668121 14.746175)
,POINT (-17.5095772 14.746366)
,POINT (-17.5131596 14.7465748)
,POINT (-17.4662977 14.746577)
ARRET CITE MONTAGNE PARCELLES,POINT (-17.4456089 14.7462716)
ARRET CITE MONTAGNE PARCELLES,POINT (-17.4453966 14.7469855)
,POINT (-17.5076943 14.7481037)
,POINT (-17.4902804 14.7481252)
,POINT (-17.514309 14.7484281)
ARRET TALLY BOU BESS PARCELLES,POINT (-17.4438396 14.7485016)
ARRET TALLY BOU BESS PARCELLES,POINT (-17.4440421 14.748502)
,POINT (-17.4912109 14.7489545)
,POINT (-17.5065781 14.7490052)
,POINT (-17.5050898 14.7496337)
,POINT (-17.4472462 14.7498692)
,POINT (-17.4476287 14.7500365)
,POINT (-17.4578768 14.7502388)
,POINT (-17.4493677 14.7502665)
,POINT (-17.4574637 14.7503656)
ARRET POLICE PARCELLES,POINT (-17.4406336 14.7503782)
ARRET POLICE PARCELLES,POINT (-17.4410409 14.7503999)
,POINT (-17.4496372 14.7504075)
,POINT (-17.4890139 14.750514)
,POINT (-17.465075 14.7507031)
,POINT (-17.4465134 14.7507912)
,POINT (-17.4523487 14.7509898)
,POINT (-17.4884121 14.7510573)
