id,type,name,category,latitude,longitude
5495025056,node,（名称不明）,park,14.7075848,-17.4526709
7092867869,node,Jardin public,park,14.7788517,-17.3837051
10220137367,node,jardin public,park,14.7513516,-17.2544175
11390528793,node,（名称不明）,park,14.744048,-17.3722609
27811247,way,Place de l’Indépendance,park,14.6695341,-17.4320553
153018915,way,Parc forestier et zoologique de Hann,park,14.7264925,-17.4333889
180067409,way,Jardin public de Rufisque,park,14.7151178,-17.2716573
182680636,way,Place de l'Obélisque,park,14.69438,-17.4485027
194602934,way,Jardin Zone A,park,14.7025101,-17.4537287
198501120,way,（名称不明）,park,14.7124496,-17.4636963
207338796,way,Jardin public Fann Hock,park,14.679676,-17.4635364
224178098,way,Place du Gouvernement,park,14.667873,-17.3992919
224179634,way,Parc Adanson,park,14.6674751,-17.3980107
224181695,way,Place de l'Europe,park,14.6702333,-17.3997757
225431433,way,Foyer de Charité,park,14.7229251,-17.3064155
228427440,way,Parc des laobes,park,14.772118,-17.3895078
246022255,way,Green Park,park,14.7084003,-17.4845484
246022267,way,Ebbet's Field (U.S. Embassy),park,14.7026614,-17.4794631
253106359,way,（名称不明）,park,14.7122493,-17.4639362
255067511,way,（名称不明）,park,14.7141957,-17.4550365
294349492,way,jardin,park,14.7189689,-17.2885708
335585453,way,（名称不明）,park,14.7559075,-17.4594331
337113341,way,（名称不明）,park,14.7354335,-17.4238283
339555958,way,（名称不明）,park,14.782865,-17.3855481
340134213,way,（名称不明）,park,14.7404611,-17.438726
345752744,way,（名称不明）,park,14.7312189,-17.2835443
361896553,way,（名称不明）,park,14.7477784,-17.4903962
375536886,way,Parc Ilot Y Hann Maristes 2,park,14.740657,-17.433884
399333402,way,（名称不明）,park,14.7381711,-17.4697673
431692016,way,（名称不明）,park,14.6695452,-17.3997185
476032702,way,（名称不明）,park,14.6848479,-17.443211
477226414,way,（名称不明）,park,14.6930236,-17.4344321
477863348,way,Direction des eaux et fôrets,park,14.7309772,-17.4325113
477863349,way,Direction des eaux et fôrets,park,14.7307908,-17.4324165
477863350,way,Direction des eaux et fôrets,park,14.7311081,-17.4323515
477863351,way,Direction des eaux et fôrets,park,14.7310227,-17.4326814
478147726,way,Jardin de la Cité Mixta,park,14.7479202,-17.4557021
489960111,way,（名称不明）,park,14.7351886,-17.4637258
495434366,way,Jardin Public Liberté 6 Extension,park,14.7289992,-17.464973
510180225,way,（名称不明）,park,14.7185064,-17.4723752
511678890,way,（名称不明）,park,14.7165165,-17.455819
511678892,way,（名称不明）,park,14.7153073,-17.4554065
525998211,way,（名称不明）,park,14.6695156,-17.3999211
617182012,way,PLACE PUBLIQUE PARCELLES ASSAINIES UNITE 14,park,14.7718643,-17.3347384
681393172,way,Courtyard,park,14.7047117,-17.4684348
781540983,way,（名称不明）,park,14.7217282,-17.4393729
798118773,way,（名称不明）,park,14.7216881,-17.4565405
800693964,way,（名称不明）,park,14.7378244,-17.4739141
807153603,way,（名称不明）,park,14.7243619,-17.472979
807153610,way,（名称不明）,park,14.7216368,-17.4732959
807799028,way,（名称不明）,park,14.6794378,-17.4374867
807805224,way,（名称不明）,park,14.6783951,-17.44381
808076722,way,（名称不明）,park,14.7128921,-17.4659683
808076723,way,（名称不明）,park,14.7126248,-17.4617691
808461455,way,（名称不明）,park,14.6821349,-17.4406975
810069027,way,（名称不明）,park,14.7386947,-17.286253
812924925,way,（名称不明）,park,14.7339918,-17.4870734
812940455,way,（名称不明）,park,14.7191695,-17.4839279
814138698,way,（名称不明）,park,14.6970331,-17.4538711
814500774,way,（名称不明）,park,14.6791099,-17.4647718
886648654,way,Jardin Faculté des Sciences et Techniques,park,14.6852087,-17.4648046
915915348,way,（名称不明）,park,14.7815382,-17.307752
928854929,way,（名称不明）,park,14.7117211,-17.4513787
1046141917,way,（名称不明）,park,14.7348942,-17.205754
1053163248,way,（名称不明）,park,14.7560098,-17.4762267
1075704572,way,Jardin Botanique de Hann,park,14.7262225,-17.434038
1137315710,way,（名称不明）,park,14.6888172,-17.4731365
1165113444,way,（名称不明）,park,14.7511282,-17.4934577
1165115115,way,（名称不明）,park,14.7509456,-17.4939679
1287112502,way,Pullman Beach Club,park,14.6667555,-17.4304367
7004021,relation,（名称不明）,park,14.6723652,-17.4315288
